time_since_launch,orbital_altitude,battery_voltage,solar_panel_temperature,attitude_control_error,data_transmission_rate,thermal_control_status,satellite_health
2903,1157.8921440203958,29.087885254632823,-49.62174827624222,4.175170966613152,33.16930594210787,1.2,1
1635,756.7912507822559,23.904613060899912,-27.820194195321527,3.687696410397277,20.3571120749213,1.2,1
2971,1924.587084929817,26.098199389186334,40.83947073539263,2.24958374063942,90.53351333405527,1.2,1
905,1167.1023885250445,19.693336888388565,18.6458356726658,0.9934064231333514,39.21818769545066,0.0,0
2857,435.4149295825079,30.726478322995398,-52.14757077333047,1.9703487238552293,20.44116199464441,0.0,1
3398,1424.096751545172,27.737428396195522,-53.2913257775021,3.2367269656714766,37.808339136132915,1.2,1
1015,883.6116476327596,24.616624245029488,36.64283543518844,0.15932080969411191,32.03257265894517,0.0,0
1590,1267.3742049926327,26.999642761250637,-36.37524001439608,2.9977414891142677,97.9380587519933,1.0,0
600,736.7542839768987,29.04893946758208,-50.75696170414706,5.538162054533879,59.55799101193914,0.0,1
2334,1853.4005056164576,29.840797915819707,39.74674431148575,1.6919736492135693,37.254236069604346,1.0,0
903,1661.3318027356177,30.09856502904611,30.882059068814634,1.3257139500912065,75.79506762788941,0.0,1
1160,1667.2778590556943,22.89431266233049,10.059994084863881,2.041921238904413,71.48611439731407,0.0,0
592,407.3728978790368,31.170481453259427,16.68568970917196,1.846433947173566,86.27627029242339,0.0,1
606,653.3343264134033,29.576846594149888,-46.266949896101885,0.8533853256520896,83.43267239786843,0.0,0
905,552.1913669622533,23.31975173744593,47.16148799565141,4.1518299666964875,30.084688550727183,0.0,0
731,1826.799892126054,27.880820443479273,16.490647229842185,1.6089154104447654,69.03575408912269,1.0,0
524,1666.7040023192883,24.311307196430697,-11.231836657053368,5.472294544007589,21.789239957764888,1.2,1
1663,1800.4462777793178,30.334025037335802,-37.686319839011894,4.985599511884474,104.22046978356619,1.2,1
3374,954.6804090828648,28.838071874670423,-27.871493712090285,1.026156206394808,81.43570379807036,1.0,0
68,772.7906848414658,25.39296504746854,38.78243457211698,4.482001928747373,44.56667036244278,1.0,0
1037,1565.5050138604645,26.489020938404536,,2.530890865956171,31.650861292119416,1.0,0
3171,867.1453146620586,27.442201212718565,-12.989633216210235,3.102779461704326,82.39620338878662,1.0,0
553,1907.122833469958,24.476485126482988,-46.235307242751624,4.652019971987569,56.93843209079735,0.0,0
2983,922.7584919878892,26.35068505591982,46.08512456383045,5.156573907330579,63.58478826919183,0.0,1
3479,347.9888914062008,23.650266848060614,-43.357884707447454,2.56683248259326,47.78512065369415,0.0,0
2816,1171.8201161397417,27.77533543271816,-42.70959661085945,0.854996474015196,54.107939951886095,1.2,1
2629,598.8768017980034,,-38.9149372250032,0.351872474893678,18.29538376928739,1.0,0
836,434.6168954846639,27.734999350090728,37.163217882574834,0.4536620244531796,82.61672196529923,1.0,0
2541,1807.629534813732,27.891299089178563,-51.411184131839,2.963215294286014,54.8589877626721,1.2,1
3203,1305.8187113902395,25.94494145772258,-29.52675528988811,1.9848889829782328,102.91781913317953,1.0,0
499,1579.8407076553526,23.161201792087873,-1.061457735350542,0.6769127299474826,64.89320078780021,1.0,0
2989,1718.013236520318,21.442316844455238,-28.643230628750402,0.9090134741227274,82.93399531305477,1.0,0
2850,359.07513894787826,27.36804155844122,-40.920225303818015,3.202147341280841,29.21739889575383,0.0,0
2654,1922.4198464375577,23.1935510007096,-41.6930795733309,3.721640325749701,40.503672145642355,0.0,0
587,503.89831255781087,25.441258148420985,43.96976909883925,1.74338318709666,61.07103130418041,0.0,0
2432,1643.4156090319505,29.977294081945026,22.59399268785189,0.3496870383538702,49.661902613960436,1.0,0
3080,1548.3950600700027,22.159480066311588,50.452100578905075,2.1896475440121037,69.13460230979884,0.0,0
3041,1006.8163330886758,20.800936152769534,42.82099674891977,2.401063196825734,32.896937120063484,1.2,1
